order_id,order_date,category,subcategory,region,unit_price,quantity,discount,revenue,profit,customer_age,gender,customer_id
1,07-03-2023,Clothing,Men,West,614.65,2,0.02,1204.71,583.86,38,Male,2374
2,18-07-2024,Beauty,Fragrance,South,191.78,3,0.09,523.56,224.33,22,Female,2403
3,22-04-2024,Electronics,Laptops,East,391.93,4,0.04,1505.01,522.08,29,Male,2070
4,17-11-2023,Sports,Outdoor,East,489.31,4,0.05,1859.38,720.07,24,Female,2259
5,13-11-2023,Electronics,Mobiles,Central,41.91,3,0.05,119.44,34.01,45,Male,2534
6,18-09-2024,Electronics,Audio,West,196.39,2,0.14,337.79,131.51,35,Female,2769
7,04-03-2023,Electronics,Accessories,North,665.35,3,0.02,1956.13,306.94,44,Female,1977
8,24-05-2024,Home & Kitchen,Decor,West,223.37,1,0.07,207.73,63.9,18,Female,1240
9,28-05-2023,Home & Kitchen,Furniture,North,245.13,2,0.12,431.43,76.5,32,Male,1083
10,10-03-2023,Clothing,Women,East,238.99,3,0.08,659.61,225.28,33,Other,1552
11,20-01-2024,Beauty,Skincare,East,123.86,1,0.14,106.52,26.52,24,Male,1868
12,13-12-2024,Home & Kitchen,Appliances,Central,333.81,2,0.05,634.24,224.7,22,Female,1103
13,21-06-2024,Sports,Outdoor,West,278.22,3,0.11,742.85,112.77,29,Male,2801
14,09-07-2024,Beauty,Haircare,Central,452.79,3,0.16,1141.03,561.41,18,Male,2655
15,07-06-2024,Clothing,Women,North,234.03,3,0.09,638.9,132.36,42,Male,2500
16,27-07-2024,Beauty,Haircare,North,741.48,3,0.06,2090.97,484.38,41,Male,2872
17,10-01-2024,Beauty,Haircare,South,348.16,1,0.03,337.72,103.55,36,Female,1247
18,04-04-2023,Clothing,Kids,Central,243.22,3,0.03,707.77,299.51,19,Male,2833
19,05-09-2024,Sports,Outdoor,North,36.71,1,0.07,34.14,7,22,Male,2121
20,25-11-2023,Clothing,Kids,South,668.78,2,0.05,1270.68,420.38,32,Female,2858
21,01-01-2024,Electronics,Audio,North,381.78,3,0.06,1076.62,514.66,33,Female,2053
22,28-09-2023,Home & Kitchen,Furniture,South,793,1,0.21,626.47,285.68,25,Male,1910
23,14-05-2023,Clothing,Kids,South,598.29,3,0.07,1669.23,416.05,33,Male,2886
24,07-11-2024,Electronics,Audio,North,157.73,2,0.06,296.53,95.94,31,Male,1348
25,24-07-2024,Home & Kitchen,Appliances,North,540.74,3,0.03,1573.55,309.74,31,Male,1902
26,15-04-2024,Sports,Fitness,East,546.88,4,0.07,2034.39,536.62,33,Other,2144
27,21-10-2023,Beauty,Haircare,South,603.88,3,0.19,1467.43,601.56,42,Female,1595
28,23-08-2024,Home & Kitchen,Appliances,North,46.41,3,0.09,126.7,60.11,24,Female,1340
29,03-02-2024,Sports,Fitness,Central,729.23,3,0.04,2100.18,720.24,33,Female,1671
30,20-11-2023,Clothing,Men,North,450.88,1,0.04,432.84,200.83,50,Female,1245
31,25-11-2023,Sports,Fitness,North,158.41,3,0.19,384.94,84.65,31,Female,1655
32,15-06-2023,Home & Kitchen,Decor,East,151.39,4,0.2,484.45,168.02,42,Female,2424
33,09-03-2023,Sports,Fitness,South,212.73,1,0.06,199.97,54.28,33,Female,2099
34,09-02-2024,Electronics,Audio,East,54.4,2,0.12,95.74,20.93,34,Male,2643
35,10-10-2024,Sports,Outdoor,South,344.17,3,0.05,980.88,267.02,28,Female,2749
36,16-02-2023,Sports,Team Sports,North,265.67,1,0.09,241.76,43.29,49,Male,1736
37,18-09-2024,Beauty,Fragrance,West,688.47,2,0.02,1349.4,317.43,47,Male,2485
38,27-08-2024,Electronics,Audio,Central,245.62,1,0.05,233.34,85.77,19,Female,2462
39,22-07-2023,Electronics,Accessories,East,249.17,1,0.08,229.24,87.97,44,Male,1787
40,06-04-2024,Beauty,Fragrance,East,793.16,4,0.06,2982.28,1217.36,55,Male,2524
41,01-05-2023,Electronics,Audio,West,271.68,2,0.08,499.89,139.33,63,Female,2915
42,07-07-2024,Clothing,Women,South,280.83,2,0.13,488.64,185.31,35,Female,1850
43,26-05-2024,Electronics,Accessories,South,265.87,3,0.07,741.78,206.24,22,Female,1692
44,16-09-2023,Electronics,Audio,East,737.38,1,0.19,597.28,226.77,31,Male,1292
45,19-02-2023,Clothing,Men,North,289.46,3,0.07,807.59,207.33,28,Male,1473
46,09-12-2024,Clothing,Kids,North,695.65,3,0.06,1961.73,776.17,43,Male,1679
47,22-11-2023,Beauty,Fragrance,West,167.01,3,0.03,486,114.89,31,Male,2558
48,13-10-2024,Sports,Fitness,East,336.25,4,0.15,1143.25,243.88,31,Female,2856
